"county","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi"
"Boone","Brandy",30032,2335,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
"Bremer","Schnapps",93232,7445,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"Bremer","Gin",37452,2914,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"Bremer","Misc",137292,8384,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"Bremer","Vodka",357142,34371,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"Bremer","Tequila",81558,5547,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"Bremer","Amaretto",6463,663,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"Bremer","Whisky",665938,47591,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"Bremer","Rum",317573,23389,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"Bremer","Distilled Spirits",7044,447,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"Bremer","Brandy",40976,3437,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"Buchanan","Gin",15637,1335,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"Buchanan","Rum",154716,11193,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"Buchanan","Whisky",392947,27337,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"Buchanan","Tequila",71130,5749,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"Buchanan","Vodka",196392,19334,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"Buchanan","Schnapps",63574,4549,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"Buchanan","Distilled Spirits",5107,313,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"Buchanan","Misc",84207,5055,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"Buchanan","Amaretto",4031,395,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"Buchanan","Brandy",18459,1594,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"Buena Vista","Brandy",124708,5731,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"Buena Vista","Tequila",121906,6446,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"Buena Vista","Rum",245103,18131,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"Buena Vista","Vodka",307204,29151,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"Buena Vista","Schnapps",60064,4643,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"Buena Vista","Gin",44777,3887,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"Buena Vista","Whisky",644457,44758,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"Buena Vista","Amaretto",5830,686,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"Buena Vista","Misc",130400,7939,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"Buena Vista","Distilled Spirits",5261,243,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"Butler","Vodka",59237,6862,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"Butler","Whisky",108734,9017,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"Butler","Rum",44311,3127,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"Butler","Misc",13189,752,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"Butler","Tequila",6110,434,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"Butler","Distilled Spirits",1343,86,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"Butler","Amaretto",381,60,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"Butler","Brandy",8452,772,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"Butler","Gin",3005,286,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"Butler","Schnapps",15711,1313,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"Calhoun","Gin",5530,537,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"Calhoun","Vodka",66698,7406,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"Calhoun","Misc",21560,1352,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"Calhoun","Whisky",141632,11525,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"Calhoun","Brandy",6569,586,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"Calhoun","Tequila",12594,704,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"Calhoun","Schnapps",13672,1119,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"Calhoun","Rum",63282,4524,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"Calhoun","Distilled Spirits",655,50,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"Calhoun","Amaretto",1837,268,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"Carroll","Tequila",78219,4717,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"Carroll","Amaretto",10059,1261,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"Carroll","Schnapps",84580,6250,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"Carroll","Gin",30384,2434,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"Carroll","Misc",163327,9255,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"Carroll","Whisky",951051,67419,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"Carroll","Vodka",379040,33719,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"Carroll","Rum",472691,33192,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"Carroll","Brandy",29430,2192,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"Carroll","Distilled Spirits",28018,3323,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
"Cass","Whisky",493445,33527,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"Cass","Distilled Spirits",7075,332,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"Cass","Gin",22606,2026,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"Cass","Misc",107457,5889,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"Cass","Tequila",56317,3838,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"Cass","Schnapps",39139,3132,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"Cass","Brandy",16734,1384,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"Cass","Vodka",201690,20094,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"Cass","Rum",145327,10701,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"Cass","Amaretto",2959,298,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
"Cedar","Misc",33772,2419,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"Cedar","Whisky",209160,15568,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"Cedar","Rum",66596,4828,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"Cedar","Brandy",9379,792,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"Cedar","Gin",13519,1400,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"Cedar","Vodka",103532,10527,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"Cedar","Amaretto",1739,192,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"Cedar","Schnapps",26425,2010,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"Cedar","Distilled Spirits",2242,142,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"Cedar","Tequila",15392,1011,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
"Cerro Gordo","Misc",488281,31649,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"Cerro Gordo","Whisky",1904800,131745,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"Cerro Gordo","Distilled Spirits",22001,1140,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"Cerro Gordo","Gin",127047,9328,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"Cerro Gordo","Rum",759626,55669,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"Cerro Gordo","Brandy",158610,10723,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"Cerro Gordo","Schnapps",237926,17719,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"Cerro Gordo","Amaretto",23397,2395,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"Cerro Gordo","Vodka",1373412,129311,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"Cerro Gordo","Tequila",387144,26184,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
"Cherokee","Whisky",312013,23201,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"Cherokee","Distilled Spirits",7574,800,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"Cherokee","Gin",18085,1522,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"Cherokee","Tequila",27513,1540,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"Cherokee","Misc",60994,4073,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"Cherokee","Brandy",20122,1600,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"Cherokee","Vodka",119897,12057,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"Cherokee","Rum",106449,7368,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"Cherokee","Amaretto",1932,244,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"Cherokee","Schnapps",37613,2697,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
"Chickasaw","Whisky",141705,12347,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"Chickasaw","Vodka",65453,7753,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"Chickasaw","Brandy",12981,1240,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"Chickasaw","Gin",2857,296,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"Chickasaw","Schnapps",29407,2512,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"Chickasaw","Tequila",10289,580,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"Chickasaw","Misc",29044,1704,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"Chickasaw","Amaretto",1065,136,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"Chickasaw","Rum",66965,4660,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"Chickasaw","Distilled Spirits",1195,69,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
"Clarke","Distilled Spirits",4041,188,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"Clarke","Gin",11361,1032,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"Clarke","Amaretto",2515,232,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"Clarke","Misc",44744,2710,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"Clarke","Tequila",35429,2364,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"Clarke","Vodka",111193,10985,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"Clarke","Rum",81336,5767,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"Clarke","Whisky",242221,15896,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"Clarke","Brandy",11978,839,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"Clarke","Schnapps",21248,1827,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
"Clay","Schnapps",52938,3971,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"Clay","Whisky",603838,45611,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"Clay","Brandy",35834,2909,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"Clay","Amaretto",6765,719,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"Clay","Misc",124741,7817,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"Clay","Tequila",57827,3823,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"Clay","Vodka",306858,31782,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"Clay","Rum",214640,16640,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"Clay","Gin",36657,2963,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"Clay","Distilled Spirits",16864,1687,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
"Clayton","Rum",107217,7236,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"Clayton","Misc",40901,2572,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"Clayton","Gin",9843,777,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"Clayton","Whisky",235163,16009,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"Clayton","Brandy",11290,1059,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"Clayton","Distilled Spirits",1568,73,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"Clayton","Schnapps",49716,3857,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"Clayton","Vodka",102703,11165,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"Clayton","Tequila",16162,972,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"Clayton","Amaretto",2019,273,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
"Clinton","Vodka",755073,70954,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"Clinton","Brandy",154560,8056,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"Clinton","Whisky",938334,58739,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"Clinton","Tequila",232579,14901,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"Clinton","Distilled Spirits",14747,947,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"Clinton","Gin",73020,6678,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"Clinton","Misc",325744,21467,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"Clinton","Schnapps",262643,18827,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"Clinton","Amaretto",18127,2096,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"Clinton","Rum",504582,37396,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"Crawford","Brandy",30894,1968,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"Crawford","Whisky",511187,36844,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"Crawford","Schnapps",70670,5334,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"Crawford","Vodka",193570,18613,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"Crawford","Tequila",76357,3865,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"Crawford","Rum",210218,14900,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"Crawford","Distilled Spirits",11072,1272,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"Crawford","Misc",92697,5367,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"Crawford","Amaretto",5271,548,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"Crawford","Gin",18770,1631,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"Dallas","Rum",290915,20386,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"Dallas","Whisky",837213,49908,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"Dallas","Gin",53943,3787,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"Dallas","Misc",185121,11263,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"Dallas","Distilled Spirits",13625,603,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"Dallas","Vodka",582588,49915,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"Dallas","Brandy",34463,2446,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"Dallas","Schnapps",45283,3445,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"Dallas","Amaretto",5809,448,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"Dallas","Tequila",134630,9037,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"Davis","Misc",5413,439,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
"Davis","Vodka",24550,2947,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
"Davis","Tequila",2479,202,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
"Davis","Gin",1335,147,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
"Davis","Rum",12770,900,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
"Davis","Brandy",2610,260,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
"Davis","Amaretto",311,36,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
"Davis","Schnapps",5075,427,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
"Davis","Distilled Spirits",808,38,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
"Davis","Whisky",38159,2533,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
"Decatur","Rum",21841,1475,86.9,20.1,5.8,20577,8210,7815,163,37,43,18,21,113
"Decatur","Gin",2416,189,86.9,20.1,5.8,20577,8210,7815,163,37,43,18,21,113
"Decatur","Vodka",37757,3785,86.9,20.1,5.8,20577,8210,7815,163,37,43,18,21,113
"Decatur","Misc",10771,495,86.9,20.1,5.8,20577,8210,7815,163,37,43,18,21,113
"Decatur","Whisky",70751,4227,86.9,20.1,5.8,20577,8210,7815,163,37,43,18,21,113
"Decatur","Tequila",5673,317,86.9,20.1,5.8,20577,8210,7815,163,37,43,18,21,113
"Decatur","Amaretto",708,55,86.9,20.1,5.8,20577,8210,7815,163,37,43,18,21,113
"Decatur","Schnapps",11070,833,86.9,20.1,5.8,20577,8210,7815,163,37,43,18,21,113
"Decatur","Distilled Spirits",491,21,86.9,20.1,5.8,20577,8210,7815,163,37,43,18,21,113
"Decatur","Brandy",3901,249,86.9,20.1,5.8,20577,8210,7815,163,37,43,18,21,113
