"city","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi"
"Alta","Whisky",3856,260,88.8,17.7,3.4,28707,2104,1923,17,0,26,1,108,29
"Alta","Rum",1002,56,88.8,17.7,3.4,28707,2104,1923,17,0,26,1,108,29
"Alta","Misc",270,16,88.8,17.7,3.4,28707,2104,1923,17,0,26,1,108,29
"Alta","Gin",472,28,88.8,17.7,3.4,28707,2104,1923,17,0,26,1,108,29
"Alta","Brandy",460,33,88.8,17.7,3.4,28707,2104,1923,17,0,26,1,108,29
"Alta","Tequila",202,12,88.8,17.7,3.4,28707,2104,1923,17,0,26,1,108,29
"Alta","Vodka",2224,199,88.8,17.7,3.4,28707,2104,1923,17,0,26,1,108,29
"Alta Vista","Misc",611,26,92,8,1.3,30927,301,296,0,0,2,0,0,3
"Alta Vista","Amaretto",2,0,92,8,1.3,30927,301,296,0,0,2,0,0,3
"Alta Vista","Schnapps",749,53,92,8,1.3,30927,301,296,0,0,2,0,0,3
"Alta Vista","Rum",1152,71,92,8,1.3,30927,301,296,0,0,2,0,0,3
"Alta Vista","Vodka",806,96,92,8,1.3,30927,301,296,0,0,2,0,0,3
"Alta Vista","Gin",5,1,92,8,1.3,30927,301,296,0,0,2,0,0,3
"Alta Vista","Brandy",715,72,92,8,1.3,30927,301,296,0,0,2,0,0,3
"Alta Vista","Tequila",60,3,92,8,1.3,30927,301,296,0,0,2,0,0,3
"Alta Vista","Whisky",1595,132,92,8,1.3,30927,301,296,0,0,2,0,0,3
"Alton","Vodka",14953,1504,90.1,27,0.8,30708,1325,1211,9,0,6,0,79,20
"Alton","Brandy",2131,215,90.1,27,0.8,30708,1325,1211,9,0,6,0,79,20
"Alton","Gin",551,41,90.1,27,0.8,30708,1325,1211,9,0,6,0,79,20
"Alton","Whisky",35282,2589,90.1,27,0.8,30708,1325,1211,9,0,6,0,79,20
"Alton","Rum",11418,776,90.1,27,0.8,30708,1325,1211,9,0,6,0,79,20
"Alton","Distilled Spirits",74,3,90.1,27,0.8,30708,1325,1211,9,0,6,0,79,20
"Alton","Tequila",3148,150,90.1,27,0.8,30708,1325,1211,9,0,6,0,79,20
"Alton","Schnapps",4536,360,90.1,27,0.8,30708,1325,1211,9,0,6,0,79,20
"Alton","Amaretto",430,50,90.1,27,0.8,30708,1325,1211,9,0,6,0,79,20
"Alton","Misc",5540,282,90.1,27,0.8,30708,1325,1211,9,0,6,0,79,20
"Altoona","Vodka",599751,50122,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335
"Altoona","Brandy",36787,2086,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335
"Altoona","Amaretto",10629,899,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335
"Altoona","Rum",341864,24537,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335
"Altoona","Gin",49068,3513,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335
"Altoona","Misc",214560,12823,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335
"Altoona","Tequila",145529,10411,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335
"Altoona","Whisky",738673,43028,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335
"Altoona","Schnapps",64271,4759,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335
"Altoona","Distilled Spirits",11623,501,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335
"Alvord","Whisky",57,6,94.8,7.8,2.1,28182,236,213,0,1,2,2,8,10
"Alvord","Amaretto",2,0,94.8,7.8,2.1,28182,236,213,0,1,2,2,8,10
"Alvord","Rum",85,7,94.8,7.8,2.1,28182,236,213,0,1,2,2,8,10
"Alvord","Vodka",9,0,94.8,7.8,2.1,28182,236,213,0,1,2,2,8,10
"Ames","Rum",1110981,84072,97.4,63.4,6,12027,64073,53532,1994,123,6146,29,278,1971
"Ames","Whisky",2610409,148417,97.4,63.4,6,12027,64073,53532,1994,123,6146,29,278,1971
"Ames","Brandy",187640,9762,97.4,63.4,6,12027,64073,53532,1994,123,6146,29,278,1971
"Ames","Amaretto",30841,2911,97.4,63.4,6,12027,64073,53532,1994,123,6146,29,278,1971
"Ames","Distilled Spirits",69284,7353,97.4,63.4,6,12027,64073,53532,1994,123,6146,29,278,1971
